algorithm,time,1,1,1,1
round_robin,1000,8.332355816226784,8.223851417399805,8.191593352883675,8.157380254154448
round_robin,1000,8.058708414872799,8.180039138943249,7.996086105675147,8.225048923679061
round_robin,1000,8.152859960552268,8.234714003944774,8.173570019723867,7.9674556213017755
round_robin,1000,8.287265547877592,8.182625863770978,8.35340572556762,8.20335636722606
round_robin,1000,8.183070866141732,8.152559055118111,7.987204724409449,7.890748031496063
round_robin,1000,8.363101079489695,8.225711481844947,8.28361138370952,8.571148184494602
round_robin,1000,8.396299902629016,8.020447906523856,8.182083739045764,8.045764362220059
round_robin,1000,8.25,8.201171875,8.0625,8.177734375
round_robin,1000,8.118226600985222,8.269950738916256,8.298522167487684,7.8788177339901475
round_robin,1000,7.965686274509804,8.408823529411764,8.079411764705883,7.97843137254902
round_robin,1000,8.043392504930967,8.245562130177515,7.774161735700197,8.14595660749507
round_robin,1000,8.333005893909627,8.156188605108055,8.193516699410608,8.115913555992142
round_robin,1000,8.188921859545005,8.05835806132542,8.130563798219585,8.333333333333334
round_robin,1000,8.343780607247796,8.16356513222331,8.341821743388834,7.877571008814887
round_robin,1000,7.969458128078818,8.097536945812807,7.995073891625616,8.134975369458129
round_robin,1000,8.102941176470589,8.231372549019607,8.234313725490196,7.93921568627451
round_robin,1000,8.298726738491675,8.295788442703232,8.125367286973555,8.20666013712047
round_robin,1000,8.222003929273084,8.180746561886052,8.221021611001964,8.13064833005894
round_robin,1000,8.316617502458211,8.24975417895772,8.173058013765978,7.954768928220256
round_robin,1000,8.422090729783038,8.282051282051283,8.309664694280078,8.023668639053254
round_robin,1000,7.925708699902248,8.180840664711633,8.001955034213099,8.233626588465299
round_robin,1000,8.291870714985308,8.072477962781587,8.209598432908912,8.233104799216454
round_robin,1000,8.32090284592738,8.52306182531894,8.030421982335623,8.353287536800785
round_robin,1000,8.298331697742885,7.967615309126595,8.115799803729146,8.359175662414131
round_robin,1000,7.980314960629921,8.18011811023622,8.122047244094489,8.289370078740157
round_robin,1000,8.41796875,8.408203125,8.2919921875,8.333984375
round_robin,1000,7.87426326129666,8.170923379174853,8.162082514734774,8.225933202357563
round_robin,1000,8.247534516765286,8.02465483234714,7.949704142011834,8.234714003944774
round_robin,1000,8.299407114624506,8.401185770750988,8.15513833992095,7.948616600790514
round_robin,1000,8.209756097560975,8.29170731707317,8.05170731707317,8.30341463414634
round_robin,1000,8.227897838899803,8.228880157170924,8.091355599214145,8.31139489194499
round_robin,1000,7.906496062992126,8.040354330708661,8.542322834645669,8.317913385826772
round_robin,1000,8.076999012833168,8.322803553800592,8.147087857847977,8.149062191510366
round_robin,1000,7.975442043222004,7.921414538310413,7.904715127701375,8.06679764243615
round_robin,1000,8.177690029615006,8.478775913129319,8.174728529121422,8.068114511352418
round_robin,1000,7.951771653543307,8.286417322834646,8.115157480314961,8.065944881889763
round_robin,1000,8.003944773175542,8.079881656804734,8.07199211045365,8.275147928994082
round_robin,1000,8.31360946745562,8.31854043392505,8.134122287968442,8.390532544378699
round_robin,1000,8.255172413793103,8.205911330049261,8.07192118226601,8.075862068965517
round_robin,1000,8.486777668952008,8.298726738491675,8.248775710088148,8.304603330068561
round_robin,1000,8.524606299212598,8.3001968503937,8.261811023622048,8.250984251968504
round_robin,1000,8.279138099902056,8.210577864838394,8.150832517140058,8.05386875612145
